,Abaddon,Alchemist,Ancient Apparition,Anti-Mage,Arc Warden,Axe,Bane,Batrider,Beastmaster,Bloodseeker,Bounty Hunter,Brewmaster,Bristleback,Broodmother,Centaur Warrunner,Chaos Knight,Chen,Clinkz,Clockwerk,Crystal Maiden,Dark Seer,Dark Willow,Dazzle,Death Prophet,Disruptor,Doom,Dragon Knight,Drow Ranger,Earth Spirit,Earthshaker,Elder Titan,Ember Spirit,Enchantress,Enigma,Faceless Void,Grimstroke,Gyrocopter,Huskar,Invoker,Io,Jakiro,Juggernaut,Keeper of the Light,Kunkka,Legion Commander,Leshrac,Lich,Lifestealer,Lina,Lion,Lone Druid,Luna,Lycan,Magnus,Mars,Medusa,Meepo,Mirana,Monkey King,Morphling,Naga Siren,Nature's Prophet,Necrophos,Night Stalker,Nyx Assassin,Ogre Magi,Omniknight,Oracle,Outworld Devourer,Pangolier,Phantom Assassin,Phantom Lancer,Phoenix,Puck,Pudge,Pugna,Queen of Pain,Razor,Riki,Rubick,Sand King,Shadow Demon,Shadow Fiend,Shadow Shaman,Silencer,Skywrath Mage,Slardar,Slark,Snapfire,Sniper,Spectre,Spirit Breaker,Storm Spirit,Sven,Techies,Templar Assassin,Terrorblade,Tidehunter,Timbersaw,Tinker,Tiny,Treant Protector,Troll Warlord,Tusk,Underlord,Undying,Ursa,Vengeful Spirit,Venomancer,Viper,Visage,Void Spirit,Warlock,Weaver,Windranger,Winter Wyvern,Witch Doctor,Wraith King,Zeus
Kunkka,46.7387,44.0188,45.9374,47.4043,51.5098,47.2734,46.6141,51.0968,48.2439,43.2681,44.4732,49.0262,46.9767,58.4424,48.9792,50.6053,51.4536,45.4672,44.8342,45.6699,45.4201,46.9327,46.7942,48.1309,46.9913,49.764,45.0599,47.4772,51.5893,48.8146,46.5159,49.6167,52.4921,47.8629,47.3334,51.1318,51.6353,48.1505,49.249,55.1164,43.9794,45.6612,46.6582,0.0,49.1521,54.6748,46.4628,46.6875,51.1094,50.2211,45.2996,46.099,50.6468,52.3606,50.2823,48.6817,50.9426,45.8915,47.4262,50.1815,50.4207,52.5312,43.3025,44.748,48.5027,43.1063,48.9972,51.7548,50.1514,47.8813,47.8326,51.6228,45.2016,51.0504,48.2437,49.0272,47.7828,45.5432,43.9563,50.8131,47.355,50.4379,48.4587,48.799,47.115,47.9064,45.8027,47.9499,48.8147,44.7751,44.8027,48.4683,50.918,48.5133,47.6585,49.6755,50.5913,47.4508,49.3571,52.3018,53.9508,46.6357,46.9092,50.2274,43.222,45.7691,44.1524,45.6938,44.9309,50.6272,46.9588,47.936,45.5683,47.6734,47.2612,48.0678,46.9318,42.6247,44.7075
Legion Commander,47.9595,47.133,48.96,52.9386,53.1847,48.8328,47.829,55.0571,46.3126,47.5289,48.4304,51.5807,52.0464,56.0364,50.2362,49.6048,51.298,49.6665,46.4496,47.4534,48.7303,49.5282,48.0868,53.1269,50.7996,52.9455,46.7297,50.7166,53.1102,49.7372,49.3399,55.0983,55.5389,48.9358,49.7106,53.059,53.3539,51.2135,51.858,55.7177,47.5097,51.1855,49.0975,50.8478,0.0,57.3554,47.0681,51.2028,52.7597,50.2095,44.5915,45.8743,49.2297,52.4243,49.338,47.665,47.2719,48.1029,48.8645,51.2766,53.123,55.473,46.7827,46.6878,50.133,46.27,49.9165,51.5306,53.4104,49.9624,49.0172,53.1086,49.3336,53.6285,49.3975,49.7267,51.4228,48.4087,47.8505,53.5807,49.1646,50.9087,50.0029,50.645,51.9192,50.136,48.0383,50.5853,50.6385,48.3945,46.6775,48.5459,53.3011,49.8374,49.7842,50.3014,53.4417,49.1718,52.8446,54.1629,54.9243,47.3138,45.3556,50.4818,45.7636,50.1157,45.2605,46.532,50.8861,54.1544,46.4523,50.9439,49.5781,51.4312,49.1891,48.517,48.9654,42.8721,46.7504
Leshrac,41.7575,41.2049,40.8286,40.6297,45.7931,42.4766,40.733,46.3774,39.526,39.3595,41.2228,46.3421,41.7501,45.7023,43.8116,43.2846,44.7228,41.014,38.2493,40.2488,42.2111,43.6081,42.5891,45.3442,42.8807,47.9927,41.0407,41.2181,46.4776,43.6833,41.9425,46.3126,49.4555,42.0388,43.0957,47.4023,44.0674,44.3821,45.0265,49.1914,39.4629,42.6626,42.8737,45.3251,42.6445,0.0,42.1252,43.6703,45.4305,44.303,38.8421,38.8857,43.6037,47.438,45.8441,40.4445,48.9529,40.6066,44.1619,45.4579,48.9,48.2465,39.7019,40.7492,41.9661,38.2031,45.6471,47.9567,46.7321,44.9844,43.0311,49.326,41.8089,45.5952,42.4444,43.8316,41.3736,41.499,40.7868,46.0241,42.5909,46.7804,43.7627,43.422,42.6751,42.8394,42.4096,46.1001,43.5632,39.4351,37.4242,43.8127,46.0796,43.548,42.5936,46.1956,45.5994,42.458,46.5727,47.8375,49.5489,42.9309,42.6518,46.0743,39.3141,39.9435,39.0373,41.4565,40.8249,44.7114,40.0208,43.2368,41.1395,42.6101,41.3381,43.6536,42.6882,37.4534,38.4796
Lich,50.5095,48.2079,49.2205,46.8709,53.1278,50.2105,48.4254,55.8496,47.2303,47.9148,49.0473,52.2742,50.0866,49.7482,50.9464,52.5724,52.059,47.9661,47.5973,48.9736,48.0252,49.2488,51.02,52.9676,50.8964,54.2851,50.0322,50.864,54.3864,52.2821,50.5879,54.5726,55.8376,50.0062,50.5311,54.2676,55.559,52.3809,52.6235,58.3286,47.8957,50.9928,50.3386,53.5371,52.9318,57.8747,0.0,53.4969,54.0256,52.7571,46.7402,49.2526,47.8763,55.4842,53.3833,51.148,54.1256,48.1857,53.4796,52.8508,52.5196,54.6929,48.5071,48.959,50.1099,47.654,53.9979,53.8752,55.1648,52.1639,51.7501,51.9762,48.3528,52.7917,51.0773,49.9802,49.9349,50.759,47.2887,54.0024,49.474,52.7922,52.1009,52.1151,51.168,50.7657,51.3587,51.3618,51.7171,48.1607,46.9128,52.5049,53.4912,52.9713,49.8394,53.1516,55.0844,50.9732,53.2831,53.9327,57.1179,50.2966,50.3186,54.3625,48.0056,49.5042,48.8036,49.947,49.4792,53.6043,47.5862,50.612,49.6866,49.9358,50.4074,52.3945,50.629,45.8472,47.2534
Lifestealer,47.214,47.4844,46.5508,46.4505,51.4758,47.7307,44.0509,56.1591,42.7076,47.9539,45.7653,51.3439,47.5267,46.2405,49.7088,47.8995,50.5318,46.6741,46.2722,46.4085,46.0569,48.5753,47.3215,49.5746,49.2071,52.8309,47.9977,48.1938,52.1817,50.5565,50.3125,54.2549,53.5556,45.4558,45.8955,52.2503,55.2849,50.5776,51.6395,53.6253,47.3108,47.8162,50.167,53.3124,48.7971,56.3296,46.503,0.0,51.505,50.0561,45.6806,45.8637,46.6278,51.5572,51.3605,46.0115,44.8443,46.2706,49.3289,48.9966,48.1967,51.086,45.6364,45.8508,50.0892,45.0726,48.5249,52.2656,54.8916,50.1649,47.3196,49.5506,49.8884,52.0024,47.9837,49.7781,47.0615,45.7845,43.9795,52.4744,49.5308,51.2382,49.3159,48.7232,49.4797,48.0868,45.382,47.7267,50.4393,47.2837,49.3268,46.8935,51.5831,50.8338,50.177,48.5462,50.7466,48.2895,52.0368,54.9574,56.409,46.7111,46.4583,49.9033,47.2174,49.5905,43.7571,45.9816,50.1349,53.6051,46.4774,48.4674,47.6198,47.3726,45.8046,48.843,48.1577,43.9744,48.5247
Lina,46.9221,43.7774,46.2792,45.6355,47.2954,44.7763,44.6498,50.4744,43.6256,43.0786,44.1844,48.5252,46.5812,49.1501,46.7475,46.1867,49.4952,44.4188,43.0529,44.5032,44.5295,46.335,46.6506,49.6343,47.0105,50.2987,43.9256,44.7486,50.2772,47.9032,46.5354,50.1991,51.4883,45.9321,46.4593,50.7608,49.372,49.5466,48.289,53.1065,44.2756,47.1728,46.3369,48.8968,47.2338,54.5858,45.9707,48.4949,0.0,48.4316,43.802,42.9197,45.5285,51.1944,48.4246,44.8888,48.4825,44.1042,48.5373,50.8208,47.4607,50.8819,44.3714,43.8551,45.9692,42.2447,48.6875,51.9509,52.0294,49.2135,45.6382,48.6815,47.627,49.221,46.0259,46.1921,47.0543,45.2532,43.4007,50.0467,46.0993,49.3025,48.1585,47.6172,47.127,46.0353,46.1837,48.7277,48.6343,42.8382,41.8957,45.9271,49.6471,46.513,45.6397,47.4516,49.9444,45.4049,50.3754,50.6623,52.2595,46.292,46.592,49.184,42.9938,46.6605,44.164,44.0836,45.5343,48.5448,43.5509,47.0327,45.2253,46.6271,44.9918,47.9145,46.2856,41.4935,42.4254
Lion,48.5391,45.5397,47.5214,46.2859,49.0701,46.3915,46.361,52.8318,42.4734,45.2896,46.7272,50.3081,48.9473,49.4055,47.4544,47.8582,50.1726,46.1155,44.6264,45.732,45.6588,47.8839,47.5179,50.8457,47.8115,51.464,45.3317,46.9357,51.3261,49.7855,48.4487,51.4824,53.7661,48.2542,49.3541,51.3997,51.0204,50.2227,50.2215,54.5117,45.2258,49.4362,47.7401,49.7865,49.7994,55.6916,47.243,49.9571,51.5683,0.0,44.2541,45.0552,46.4357,52.8623,49.2556,47.5138,47.2993,45.8005,49.7405,52.4349,49.3558,52.2906,45.3296,44.7013,49.013,44.3093,50.1417,52.0321,52.7219,50.159,47.8043,50.0101,47.653,51.1747,47.9496,48.3542,47.9123,46.6091,45.1303,51.1437,47.6553,50.5583,49.2835,48.8372,47.9134,48.0803,48.0946,49.9772,49.4404,45.614,43.2338,47.8556,52.5029,49.215,49.0785,49.8057,51.46,46.9947,52.4941,52.8639,54.2097,46.6839,48.6688,50.0941,43.8269,47.0571,45.9238,45.4156,46.1873,50.6077,44.3969,48.9399,46.1202,49.2112,47.866,49.1784,47.9693,42.6182,45.0641
Lone Druid,53.7019,51.7972,53.0215,56.7313,58.2308,53.0096,53.5735,57.8812,48.5796,52.2813,51.5508,52.7121,51.1772,49.4316,55.2769,52.6442,53.5375,50.1799,52.2405,50.828,52.4792,51.3423,52.3004,55.9203,54.8181,58.8625,52.5487,50.3002,56.5099,53.4289,51.572,59.1896,56.2004,52.6485,55.3671,58.1083,57.85,49.8586,54.9136,58.8235,48.513,55.2357,51.5491,54.7003,55.4084,61.1578,53.2597,54.3193,56.203,55.7524,0.0,50.5154,52.8587,57.7858,59.0768,49.9875,52.2123,52.8601,54.2063,53.8532,48.9044,57.2262,50.9753,52.9259,54.6845,50.5304,54.047,57.3353,57.7333,54.0336,50.9265,52.6034,50.4688,58.5333,56.1026,54.6465,53.4424,52.2864,50.0918,56.8174,52.5761,58.7731,54.3324,57.5731,56.7177,55.1008,51.6174,54.6074,54.8809,50.7923,53.4665,53.7696,60.1364,53.2269,54.4298,54.6977,55.7507,51.9618,57.0294,60.5453,58.6451,50.9318,50.2889,55.2724,49.2005,52.171,50.6788,52.0808,50.6709,54.4018,48.8386,55.9585,49.8825,51.8262,50.7255,51.0666,52.7052,49.9546,54.355
Luna,50.6513,50.6974,50.9718,50.629,52.856,52.0678,51.9459,56.3245,47.6128,49.8504,51.1914,54.7325,50.5106,51.4642,52.909,52.4782,53.1345,52.8735,46.9044,49.8982,46.926,51.4749,52.7365,56.8827,52.3913,56.2544,51.5536,53.3774,55.9896,53.8992,51.3996,56.2524,57.8278,51.8366,52.3346,56.6283,56.9513,53.3896,53.9598,58.9601,48.5106,52.9217,52.1884,53.9009,54.1256,61.1142,50.7473,54.1362,57.0814,54.9437,49.4845,0.0,51.5338,56.8687,53.9506,50.4178,49.3839,50.7968,55.4213,54.61,51.4739,57.0075,49.8919,51.4617,51.9296,48.0314,55.0937,57.1838,57.4172,54.6923,53.6425,52.3379,51.2242,57.3019,51.3023,53.976,52.3497,53.7811,51.3099,54.4038,50.2441,53.3695,54.7012,54.7777,53.905,51.5757,54.2437,52.2788,52.4814,49.1844,46.1084,52.7679,55.6719,53.9566,51.036,55.2348,53.3534,52.7517,55.9627,55.9744,58.1687,51.0118,51.3704,54.4121,47.5042,53.0756,49.4209,51.8099,51.3529,53.6366,49.7789,53.2394,49.7401,54.0999,52.4847,54.2636,51.9936,46.1855,47.442
Lycan,50.5908,47.8324,54.4347,50.6383,58.3591,47.359,53.7252,52.6406,51.1627,45.4246,48.5213,53.0466,45.4222,50.684,53.7839,49.8506,53.7331,49.9962,52.0525,47.1799,46.5805,51.3145,49.0166,56.1203,51.246,54.1174,49.6387,52.9705,54.5148,47.2912,50.3986,53.9764,52.2609,49.3017,51.2129,56.7265,54.2886,50.6669,54.5076,56.5077,46.597,51.6188,49.0463,49.3531,50.7702,56.3962,52.1236,53.3721,54.4644,53.5614,47.1412,48.4661,0.0,53.7317,54.1521,47.0946,47.5867,51.3098,50.7181,53.4656,44.432,55.4885,48.0377,52.0554,52.5065,49.2107,49.584,59.7166,59.6693,51.4692,48.6244,50.0129,47.6284,54.6137,54.0862,54.1812,50.2293,52.3348,51.2215,55.4701,50.7511,55.749,52.2907,51.7579,54.4907,52.8673,49.6829,52.7515,54.2209,50.1743,48.8257,50.1348,52.8023,46.8722,49.3415,52.5886,51.3866,45.9281,52.1545,56.5587,56.1112,49.2182,46.8426,54.1039,46.6685,47.0256,50.3432,48.8862,49.7262,53.3849,52.3114,52.867,48.5438,49.9549,50.7337,48.1582,48.9395,47.0081,50.4937
Magnus,44.111,42.0996,45.1762,44.8988,50.3502,44.6559,43.2276,49.7833,42.8735,42.5358,43.407,47.1123,45.3882,52.4848,45.8912,48.0981,47.3358,44.1398,42.3876,44.028,43.5287,45.0316,45.2772,47.2903,45.0575,47.5751,43.8708,45.8608,48.7746,46.6362,45.5909,49.1246,49.8178,44.8344,45.0631,48.2781,50.006,43.5637,47.1208,52.1184,42.0573,45.2491,44.6106,47.6393,47.5756,52.5619,44.5157,48.4427,48.8089,47.1467,42.2141,43.1312,46.2682,0.0,46.867,43.8218,45.9363,43.104,46.6704,48.177,47.6512,51.3244,40.5291,42.7958,46.6376,41.7923,45.1051,48.7404,50.1643,47.127,45.6172,50.1393,43.2821,49.7648,46.8059,46.6875,44.4329,44.4986,41.688,48.0575,46.5678,47.3141,47.2451,46.4454,45.4533,45.6925,44.658,45.9724,46.8887,43.4485,42.1109,45.6762,48.8128,47.539,46.3652,47.9971,47.2711,43.7072,47.5407,49.0694,52.5118,45.7751,42.0646,48.3363,41.3207,45.5042,41.3012,44.1312,44.012,48.6525,43.7645,46.6502,43.5788,46.061,44.6394,45.5127,45.4197,39.5362,42.1185
Mars,47.3706,44.7387,47.1706,45.2947,50.6936,47.3978,45.4881,51.9876,44.3726,45.4578,45.5294,47.8294,49.4858,52.167,49.0588,47.9242,48.8623,47.9659,45.1268,46.4087,45.4876,47.4367,47.9685,49.0231,47.877,50.6764,45.9692,51.0923,50.5173,49.1482,47.9417,51.0421,54.132,47.1484,47.5342,52.2319,54.4109,48.3156,50.4216,55.4183,44.4835,48.016,48.9479,49.7082,50.6737,54.1413,46.6165,48.657,51.5753,50.7443,40.9201,46.0567,45.8279,53.1516,0.0,49.4823,45.2352,46.3312,50.0192,50.8473,46.807,53.0853,44.3308,43.4503,48.1999,44.242,49.8773,52.3442,51.5114,49.4559,49.2597,47.1527,46.6795,51.013,48.562,47.9574,45.6267,48.6412,42.66,51.9745,47.5098,51.3277,50.4479,49.9277,48.1444,47.8295,47.4909,50.2931,48.8615,47.403,44.631,49.9854,50.5823,50.0742,48.6734,50.0106,50.6547,47.8651,50.5486,50.1833,53.6869,47.8189,48.3086,50.4329,43.1293,46.0899,45.7705,47.0109,46.4274,50.6871,43.2866,47.5685,45.2426,50.0376,49.9992,48.6156,48.6054,42.7916,45.7786
Medusa,49.5334,45.9566,49.3102,42.5643,51.6528,49.6979,50.023,56.4733,49.4235,50.185,47.9052,53.212,48.6317,46.5145,49.3215,53.8541,53.4829,51.1456,46.6801,48.8679,45.4557,48.3092,50.882,57.4573,49.6194,54.5206,48.5133,50.4346,54.0449,51.497,49.5095,53.5889,57.2972,53.4862,50.5011,54.7805,55.1359,51.1686,48.9633,57.0872,45.6347,49.9926,47.811,51.3295,52.3348,59.5705,48.8436,53.9909,55.1111,52.4861,49.9958,49.5701,52.8986,56.1832,50.5176,0.0,51.764,47.2607,51.4595,52.2741,52.4508,55.5287,50.6083,48.7527,46.9105,45.1134,52.8681,54.7913,58.7373,50.194,52.1984,51.1401,49.7681,55.7741,50.2913,52.4598,53.5424,51.1002,45.862,51.885,49.5209,51.9089,52.388,51.6757,52.5526,51.8834,51.5823,48.5417,50.3375,44.9595,46.7714,51.8899,55.6424,53.4722,52.038,55.368,52.4167,48.8756,53.7369,53.6807,56.8564,48.688,49.619,52.4202,44.17,54.0879,47.1311,50.3604,50.0328,55.1878,52.161,51.4047,49.288,52.1135,49.5221,50.2655,50.5081,44.2768,46.8512
Meepo,52.9163,51.1797,49.0247,59.8595,59.9179,49.4558,55.1404,51.9385,47.2559,48.747,52.2091,52.6259,51.7855,62.0276,52.6705,53.7815,56.2407,55.1837,51.4875,46.7112,48.9882,50.1253,51.4568,51.391,50.5493,56.0356,52.901,50.6527,54.1861,41.7254,38.6562,55.7732,58.0278,46.191,54.3461,53.9681,53.6407,47.4105,51.9979,58.5151,42.0964,51.9728,48.8281,49.0573,52.728,51.047,45.8743,55.1556,51.5221,52.6997,47.7876,50.616,52.4132,54.0636,54.7754,48.2273,0.0,51.8687,47.9259,54.4676,49.4778,59.2299,44.6875,52.522,51.0423,51.0436,51.9771,56.1931,50.8037,47.7842,53.9604,57.0105,48.5836,54.3137,51.9983,50.4001,51.9342,51.3517,51.7487,54.0527,47.2224,54.1168,45.5486,56.5355,52.2597,51.7017,51.9872,50.5985,48.552,49.7483,48.1235,53.4411,58.2415,47.0796,47.7409,60.5005,53.8554,48.5157,50.3704,52.9738,56.602,48.2459,45.8598,54.6806,41.3813,52.3341,48.3478,51.2943,48.0017,52.097,50.3701,54.3876,45.9932,52.5919,49.0115,43.3768,49.918,48.6355,49.9865
Mirana,50.1842,49.3125,51.5292,50.0454,53.5567,49.6734,50.1097,56.393,47.5994,47.8764,48.2093,53.7078,52.1964,49.2763,52.4499,51.7003,53.0152,51.3232,50.7586,49.55,48.993,51.468,51.5029,55.6864,51.517,54.9504,50.2001,52.1328,54.5055,53.0779,51.4785,55.1775,57.0269,51.7306,52.5782,56.023,56.4348,52.6573,54.4278,57.3931,49.3188,52.577,52.5426,54.1088,51.8992,59.395,51.8156,53.7316,55.8957,54.1994,47.1506,49.2059,48.6996,56.8947,53.6687,52.7392,48.1155,0.0,54.537,55.1209,49.297,56.7876,48.2216,49.7582,50.8993,47.6004,53.0375,55.9371,56.3923,54.3941,52.4083,51.624,51.8079,53.8418,51.6367,53.0723,51.5685,52.0108,48.5858,54.9648,51.7969,53.9672,53.1313,53.2132,52.6119,51.7381,51.1959,53.5796,53.5708,50.7154,48.5411,52.0389,54.9016,53.3067,50.9817,53.3931,53.6828,51.3278,55.7275,56.8017,57.7945,50.6792,51.1394,53.8987,47.6083,51.6332,49.6144,50.2236,50.5951,55.0865,48.0349,51.8564,50.142,53.1887,51.5644,52.7464,52.4781,45.6334,48.1237
Monkey King,49.0939,50.7283,45.6798,48.4732,49.7337,49.1603,47.1028,49.4754,43.6352,47.2065,45.4481,49.1358,48.4033,54.6795,50.1856,49.5631,51.8119,45.5433,44.9618,47.1473,47.1169,47.6009,49.291,51.6234,48.1788,52.7201,47.2777,49.5407,52.6446,50.5971,48.5326,54.1109,53.0259,47.0464,48.4844,52.5668,52.1497,49.2635,50.0591,55.4995,45.0993,48.4622,47.6531,52.5677,51.1266,55.8452,46.5202,50.6716,51.459,50.2548,45.785,44.5761,49.2856,53.3443,49.9803,48.5475,52.0815,45.4566,0.0,50.4761,48.9053,53.324,45.4247,45.1566,48.7638,43.8179,50.6879,53.3368,51.0907,50.5778,48.0574,50.3578,45.5321,53.2111,48.9612,48.2031,45.0103,46.6158,45.7264,52.0136,47.7901,50.3918,49.67,49.4271,48.9294,46.812,46.9257,48.0959,49.2203,44.9383,46.5669,48.8953,49.2052,49.8212,47.46,51.0252,49.8297,48.7047,53.0421,49.9742,54.9102,48.3182,46.3658,50.9458,47.0505,48.2278,45.3307,46.3147,45.9189,49.0151,46.7122,50.3867,47.4495,48.1834,45.1496,49.7539,47.961,44.8358,43.3113
Morphling,46.9632,47.5647,42.0088,43.0645,50.8105,43.2774,44.2371,51.2652,42.9286,44.9229,45.8332,50.2716,48.6097,46.2847,47.022,47.405,50.3072,49.7631,45.7101,44.9195,45.6754,47.0325,48.7972,50.7156,47.2593,49.9629,45.2171,47.9347,49.955,47.0009,46.4982,52.6429,54.6638,47.2042,46.8397,50.772,52.1004,49.7309,50.1257,54.2554,45.6798,49.6144,48.608,49.8184,48.7233,54.542,47.1491,51.0033,49.1861,47.5673,46.1467,45.3899,46.5343,51.8229,49.1468,47.7146,45.5323,44.8733,49.5217,0.0,45.727,53.7899,44.4277,45.1134,45.0009,42.9768,51.204,51.2909,47.4233,50.2364,50.9001,46.8899,49.1752,47.5348,46.7553,47.4011,45.3767,50.1333,43.9868,49.0574,46.2246,50.6069,47.0173,47.9559,48.0304,45.0852,46.6112,47.3776,49.045,49.5874,45.1708,48.0647,48.6744,49.6157,44.2235,49.1914,49.9517,47.5239,49.2092,49.3712,51.8792,48.7485,45.8931,49.8811,44.2584,48.6257,43.4113,46.0904,47.2026,52.8303,42.4227,46.4605,47.451,49.7241,47.635,49.739,49.1272,42.0997,42.9242
Naga Siren,49.9867,46.3822,52.0765,48.674,55.8968,45.637,53.0404,52.1072,50.198,47.8434,52.2347,51.7857,50.751,57.7777,48.5655,56.2932,55.102,56.1039,48.7822,46.1623,42.4824,52.4016,50.3764,54.7181,49.0265,55.0164,48.6883,52.0841,52.1119,46.5226,45.8149,51.127,60.2284,46.7293,52.9662,51.254,50.0425,52.5765,51.4582,55.8972,42.2251,48.2236,47.3542,49.5792,46.8769,51.0999,47.4803,51.8032,52.545,50.6375,51.0955,48.526,55.5679,52.3487,53.1882,47.5421,50.5221,50.7097,51.0919,54.2729,0.0,57.1979,41.9979,52.2112,51.1466,49.6753,50.3434,55.0972,54.2031,49.89,50.8833,54.3438,46.0992,50.19,51.3635,50.8017,49.2397,51.3377,51.5949,52.4805,43.4379,53.4773,49.7796,53.7954,54.4735,52.1678,53.2864,51.9662,48.9846,47.1028,46.7853,52.0326,51.7462,48.0582,50.0743,56.5181,54.9235,46.5025,48.1161,53.2756,55.1397,48.576,50.1697,53.7727,41.3711,50.2366,50.5867,51.2123,49.2301,56.1046,54.45,50.7795,48.3774,52.4122,50.7464,50.786,49.602,48.2426,44.3838
Nature's Prophet,45.7319,43.0597,44.8008,43.2713,47.2585,43.523,44.0857,48.3629,42.5998,43.6983,42.5652,47.1028,46.905,41.5971,46.3744,44.9572,46.5673,46.1653,42.9914,42.1174,43.2918,46.6714,45.3732,50.4837,46.1966,48.5873,43.3451,47.1924,47.1384,46.3383,46.9411,50.07,50.9103,45.265,45.5817,49.9357,49.664,47.7592,48.0514,49.8817,43.3008,46.8702,46.0542,47.4687,44.5269,51.7534,45.307,48.9139,49.1244,47.7171,42.7737,42.9924,44.5114,48.6755,46.9062,44.459,40.77,43.2052,46.6786,46.21,42.802,0.0,42.5156,42.649,45.0545,41.5787,48.2374,50.37,51.3299,47.077,44.4547,45.3787,45.299,49.9033,44.1577,46.929,45.884,48.1664,43.493,49.5266,43.7611,46.7271,46.1142,46.8799,47.5946,45.3975,44.0529,44.8141,46.5741,44.8881,40.0891,44.3769,47.071,46.7062,45.6477,47.7404,46.7363,45.5565,48.5916,49.2715,51.6009,43.5592,45.5653,47.0254,41.5356,45.8495,42.7067,43.592,46.5408,49.865,42.7937,45.993,45.3242,47.3065,45.4576,46.3615,46.4576,39.1812,41.8775
Necrophos,52.9244,51.4478,48.394,47.6708,53.3718,53.0836,51.3648,56.168,49.2123,50.4225,52.5151,53.6644,54.7883,57.3604,54.5702,53.1069,55.1561,50.9218,50.8177,50.2583,48.6227,52.3357,50.9521,53.2609,52.3909,54.8018,53.7267,49.7979,57.0658,54.5802,53.1447,58.5213,57.9368,51.5587,52.6414,55.3331,57.024,59.9895,54.082,59.1948,50.3619,53.954,53.9045,56.6974,53.2172,60.298,51.4928,54.3635,55.6285,54.6766,49.0246,50.108,51.9622,59.4708,55.677,49.3832,55.3124,51.7666,54.5771,55.5722,58.002,57.4843,0.0,51.42,52.7251,49.3657,58.0373,56.0011,60.242,55.3515,53.6781,57.9523,51.912,55.9313,51.4112,51.7115,52.3186,53.6612,51.0271,57.7758,53.4153,54.5224,52.5498,54.0893,51.7034,50.7205,53.0191,56.7316,53.8714,47.5321,53.8235,55.8614,57.2921,54.1256,52.7593,53.6599,54.9262,54.2554,56.9873,56.6128,61.4938,52.8282,52.5042,56.0475,49.1752,51.1997,50.6428,51.6443,51.5198,52.1626,47.0951,55.905,50.683,53.4665,52.5923,55.8053,52.2079,48.1831,49.9334
Night Stalker,52.0566,49.4712,52.6769,51.8295,53.93,52.5631,50.5627,56.7853,46.5933,47.6454,48.8245,53.6816,52.3907,48.3989,53.2999,50.189,53.8489,50.669,50.7597,50.4631,48.351,50.9421,52.8137,55.4743,52.9644,56.6935,50.2191,53.6476,57.2582,55.2186,52.6951,56.4614,56.0031,51.6749,52.5808,57.2999,56.4222,51.8152,54.3133,57.7764,49.4856,54.3075,52.9987,55.2658,53.3207,59.2497,51.0587,54.1467,56.1448,55.2986,47.072,48.5229,47.9888,57.1942,56.5496,51.2492,47.4589,50.2417,54.8475,54.8659,47.7674,57.3572,48.6048,0.0,53.2853,47.2907,52.8137,58.4486,59.7829,56.4647,52.8994,52.4028,50.0136,57.1083,53.2179,54.9452,52.7192,51.5481,50.9592,56.9565,52.4757,55.2377,53.7594,53.3696,54.4415,53.2144,51.337,53.8756,54.692,50.1506,49.568,51.5091,57.861,53.2565,51.9761,53.7799,53.0911,52.5143,56.685,58.0601,58.0144,50.3514,49.7208,54.6694,48.7014,51.5973,50.7402,50.1267,50.4732,54.4277,47.1367,55.2397,49.9865,52.4561,51.2265,53.9709,52.7938,45.1132,49.7495
Nyx Assassin,50.6648,47.8739,49.3647,49.2572,53.7939,48.0228,47.7904,55.3958,45.2525,47.906,47.1025,52.5724,52.8344,50.5847,51.466,49.96,53.1927,48.234,47.0264,48.6095,48.2896,50.352,49.8736,52.457,49.4189,53.2407,47.3125,48.938,53.27,51.0137,50.1937,52.8342,56.0917,49.8573,49.3707,52.4249,54.3472,51.8543,52.5728,55.4807,46.8336,48.6535,50.1043,51.4972,49.8669,58.0338,49.89,49.9107,54.04,50.9899,45.3154,48.0703,47.4934,53.3623,51.799,53.0974,48.9576,49.0763,51.2284,54.999,48.8533,54.9454,47.2748,46.704,0.0,45.6636,51.297,54.98,58.0024,51.7579,51.0077,52.6407,49.9147,53.714,50.2045,51.4304,50.5481,50.2836,46.5628,52.5463,49.0162,53.6211,50.9984,50.385,50.2535,50.0228,48.3416,50.7794,52.1306,48.6468,48.4089,50.1178,54.211,50.5817,50.488,50.507,54.0073,49.5886,56.535,56.9828,55.7404,49.4722,49.2901,52.2929,45.4559,48.9388,46.5542,49.0433,47.7242,52.9702,45.7852,51.5105,47.8144,51.9362,49.5771,51.6036,50.0411,44.9046,46.511
